GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service,CourseListerServiceImpl,20,58,1,1,2,14,2,8,1,8
demo,com.example.demo.service,RoleListerServiceImpl,4,6,0,0,1,3,1,1,1,1
demo,com.example.demo.service,StatisticsCounter,4,7,0,0,2,2,1,2,1,2
demo,com.example.demo.service,UserAuthService,37,6,0,0,8,3,4,1,4,1
demo,com.example.demo.service,UserListerServiceImpl,79,113,3,1,7,27,6,11,4,11
demo,com.example.demo.service,LessonListerServiceImpl,5,32,0,0,0,9,1,5,1,5
demo,com.example.demo.security,SecurityServiceConfig,0,7,0,0,0,2,0,2,0,2
demo,com.example.demo.security,SecurityConfiguration,0,40,0,0,0,11,0,2,0,2
demo,com.example.demo.security,SecurityConfiguration.UiWebSecurityConfigurationAdapter,0,37,0,0,0,12,0,2,0,2
demo,com.example.demo.validator,TitleCaseValidator,51,213,18,28,10,39,13,21,1,9
demo,com.example.demo.controller,CourseController,11,188,2,4,3,40,2,11,0,10
demo,com.example.demo.controller,LessonController,34,47,1,1,5,12,2,4,1,4
demo,com.example.demo.controller,UserController,22,37,3,1,6,12,3,5,1,5
demo,com.example.demo.controller,AdminController,0,29,0,0,0,9,0,4,0,4
demo,com.example.demo.exception,NotFoundException,12,18,0,0,2,5,1,2,1,2
demo,com.example.demo.exception,CourseExceptionHandler,0,19,0,0,0,5,0,2,0,2
demo,com.example.demo.config,StatisticsConfig,0,7,0,0,0,2,0,2,0,2
demo,com.example.demo.config,SwaggerConfig,0,13,0,0,0,5,0,2,0,2
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo.converter,UserConverter,20,36,0,0,3,8,2,3,2,3
demo,com.example.demo.converter,LessonConverter,0,35,0,0,0,7,0,3,0,3
demo,com.example.demo.domain,Role,53,9,6,0,14,5,11,2,8,2
demo,com.example.demo.domain,Lesson,16,30,0,0,8,12,4,6,4,6
demo,com.example.demo.domain,User,57,46,6,0,18,16,10,9,7,9
demo,com.example.demo.domain,Course,37,45,5,1,13,16,8,9,5,9
demo,com.example.demo.dto,UserDto,16,31,0,0,6,12,4,6,4,6
demo,com.example.demo.dto,LessonDto,22,30,0,0,11,12,5,6,5,6
